id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
956127,Dream Penthouse in Athens-Kolonaki,5044938,"Nicoletta, Christina, Alexandra",,ΚΟΛΩΝΑΚΙ,37.97728368299692,23.74659921215958,Entire home/apt,175,2,140,2018-06-24,2.24,1,342
956538,Colors in the heart of Athens,5198545,Maro,,ΚΕΡΑΜΕΙΚΟΣ,37.98009954917973,23.721250430149226,Entire home/apt,90,7,11,2016-04-13,0.19,1,317
974442,7th floor apartment with great view,3349638,Stefanos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98876476928413,23.746196478155724,Entire home/apt,45,3,4,2017-08-25,0.16,2,62
993348,New Acropolis View Central Loft,3849057,Ignatios,,ΓΟΥΔΙ,37.98789822113879,23.768034435371874,Entire home/apt,34,2,251,2018-06-25,4.07,2,343
993583,Flat near METRO Αttiki downtown,5458211,Christos,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.99660027889899,23.724874517612847,Entire home/apt,31,2,101,2018-07-16,1.63,1,327
1004858,Academia Loft - Apartment with Pool,5527135,George,,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,37.98600037998997,23.714085288216438,Entire home/apt,180,2,10,2018-07-11,0.16,1,343
1006755,ΔΙΑΜΕΡΙΣΜΑ ΚΑΤΩ ΑΠΟ ΤΗΝ ΑΚΡΟΠΟΛΗ,5537464,Yannis,,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,37.96748033821938,23.72873205604908,Entire home/apt,200,7,0,,,1,365
1019621,The Betty Boop Suite,2356315,Alice Inn,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97098904424673,23.73212890332049,Private room,75,1,44,2018-07-16,0.69,4,89
1020941,minimal luxurius studio in athens ,5619569,Κωνσταντινος,,ΝΕΟΣ ΚΟΣΜΟΣ,37.96247878725883,23.72638048028904,Entire home/apt,110,1,0,,,1,365
1021237,Artistic hideaway in Kolonaki,5620986,Sofia,,ΛΥΚΑΒΗΤΤΟΣ,37.97985946757351,23.74344121934752,Entire home/apt,69,3,27,2018-07-03,0.45,1,121
1025752,When you need a home...,5647422,Elie,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.988626736300944,23.73790125981093,Entire home/apt,66,3,36,2018-05-31,0.59,1,364
1035870,Charming listed neoclassical house,5698573,Clio,,ΑΚΡΟΠΟΛΗ,37.969800537084026,23.714487389106655,Entire home/apt,200,3,74,2018-06-23,1.15,1,317
1046994,4 apts over 2 levels. Roof top. Next to Plaka!,1418201,Dean,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97947005455623,23.724351575691777,Entire home/apt,250,2,13,2018-07-09,0.28,58,306
1050677,New cosy apartment in center,5784140,Lydia,,ΝΕΟΣ ΚΟΣΜΟΣ,37.960485832137635,23.734751012929454,Entire home/apt,30,2,226,2018-07-13,3.65,1,328
1064292,"Artistic Lux Apartment,Thisio 120m². accept Btc.",5858147,Alex,,ΘΗΣΕΙΟ,37.975726460116725,23.71573347841693,Entire home/apt,83,2,69,2018-07-11,1.17,1,37
1065730,Ultra chic pied-à-terre in Kolonaki,5863032,Vassilis,,ΛΥΚΑΒΗΤΤΟΣ,37.98150588802688,23.743978235184816,Entire home/apt,35,3,211,2018-07-09,3.41,1,319
1068921,STUDIO 1 WITH BALCON-  INTERNET,3961722,Eurydice,,ΑΝΩ ΚΥΨΕΛΗ,38.00643127027734,23.739430754352636,Entire home/apt,25,7,16,2016-08-31,0.29,3,317
1077097,Design Penthouse in Kolonaki Athens,5927088,Konstantinos,,ΚΟΛΩΝΑΚΙ,37.97723700295849,23.74402673612727,Entire home/apt,52,20,8,2013-11-01,0.13,1,304
1079291,CENTRE OF ATHENS NEAR ACROPOLIS,3439456,Petya Genie,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97615090257737,23.72510962013185,Entire home/apt,43,1,564,2018-07-11,8.96,2,196
